# satellite: 48233 ONEWEB-0165 / UK
# catalogue: 1 NORAD
# variability: 0 Not variable
# variability_period: None
# npoints: 38129
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2024-02-28 16:56:50.797000 8.256 8.50398 Clear 0 1456.921 46.151 7 27839496
2024-02-28 16:56:50.897000 8.111 8.35877 Clear 0 1456.602 46.146 7 27839496
2024-02-28 16:56:50.997000 7.898 8.14486 Clear 0 1456.284 46.141 7 27839496
2024-02-28 16:56:51.097000 7.957 8.20392 Clear 0 1455.966 46.136 7 27839496
2024-02-28 16:56:51.197000 8.208 8.45443 Clear 0 1455.648 46.131 7 27839496
2024-02-28 16:56:51.297000 8.155 8.40109 Clear 0 1455.331 46.125 7 27839496
2024-02-28 16:56:51.397000 8.038 8.28256 Clear 0 1455.014 46.12 7 27839496
2024-02-28 16:56:51.497000 8.26 8.50538 Clear 0 1454.697 46.115 7 27839496
2024-02-28 16:56:51.597000 8.351 8.59516 Clear 0 1454.38 46.11 7 27839496
2024-02-28 16:56:51.697000 7.937 8.18122 Clear 0 1454.063 46.105 7 27839496
2024-02-28 16:56:51.797000 7.962 8.20498 Clear 0 1453.747 46.1 7 27839496
2024-02-28 16:56:51.897000 8.169 8.41215 Clear 0 1453.431 46.094 7 27839496
2024-02-28 16:56:51.997000 8.206 8.44822 Clear 0 1453.115 46.089 7 27839496
2024-02-28 16:56:52.097000 8.059 8.30054 Clear 0 1452.8 46.084 7 27839496
2024-02-28 16:56:52.197000 8.001 8.24198 Clear 0 1452.484 46.079 7 27839496
2024-02-28 16:56:52.297000 8.043 8.28408 Clear 0 1452.169 46.074 7 27839496
2024-02-28 16:56:52.397000 8.004 8.24381 Clear 0 1451.854 46.069 7 27839496
2024-02-28 16:56:52.497000 8.089 8.32907 Clear 0 1451.539 46.064 7 27839496
2024-02-28 16:56:52.597000 8.37 8.60942 Clear 0 1451.225 46.059 7 27839496
2024-02-28 16:56:52.697000 8.135 8.37393 Clear 0 1450.911 46.054 7 27839496
2024-02-28 16:56:52.797000 7.989 8.22674 Clear 0 1450.597 46.048 7 27839496
2024-02-28 16:56:52.897000 8.161 8.39771 Clear 0 1450.283 46.043 7 27839496
