"{'ALTITUDE-DEG': 52.57456618871, 'AZIMUTH-DEG': 145.61229807563, 'CATALOG_ID': 48233, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.25240274319, 'DECLINATION-DEG': 10.72911937881, 'DRA_COSDEC-DEG_PER_SEC': 0.04706944982, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.206143484, 'NAME': 'ONEWEB-0165', 'OBSERVER_GCRS_KM': [-259.92915669255717, 4616.1517317881235, 4381.868893696147], 'PHASE_ANGLE-DEG': 46.46813572295, 'RANGE-KM': 1456.799794846868, 'RANGE_RATE-KM_PER_SEC': -3.180408457442, 'RIGHT_ASCENSION-DEG': 113.77006253882, 'SATELLITE_GCRS_KM': [-836.852282236365, 5926.064838653604, 4653.075460616411], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 52.59569843325, 'AZIMUTH-DEG': 145.58850930744, 'CATALOG_ID': 48233, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.2524995558, 'DECLINATION-DEG': 10.75435943554, 'DRA_COSDEC-DEG_PER_SEC': 0.04709973382, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.206144641, 'NAME': 'ONEWEB-0165', 'OBSERVER_GCRS_KM': [-259.9628099262653, 4616.149761904523, 4381.868972488264], 'PHASE_ANGLE-DEG': 46.46298726378, 'RANGE-KM': 1456.481934463481, 'RANGE_RATE-KM_PER_SEC': -3.178077117385, 'RIGHT_ASCENSION-DEG': 113.77485395105, 'SATELLITE_GCRS_KM': [-836.8213628471754, 5925.619381075606, 4653.646734287175], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 52.61684212843, 'AZIMUTH-DEG': 145.56467723296, 'CATALOG_ID': 48233, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.25260149605, 'DECLINATION-DEG': 10.77961933397, 'DRA_COSDEC-DEG_PER_SEC': 0.04713100361, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.206145799, 'NAME': 'ONEWEB-0165', 'OBSERVER_GCRS_KM': [-259.9964766882699, 4616.147790982703, 4381.869051312065], 'PHASE_ANGLE-DEG': 46.45784443197, 'RANGE-KM': 1456.164179474832, 'RANGE_RATE-KM_PER_SEC': -3.17580728728, 'RIGHT_ASCENSION-DEG': 113.77965077741, 'SATELLITE_GCRS_KM': [-836.7904233660971, 5925.173690070184, 4654.21819520579], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 52.63798024822, 'AZIMUTH-DEG': 145.54082096229, 'CATALOG_ID': 48233, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.25269318338, 'DECLINATION-DEG': 10.80487875117, 'DRA_COSDEC-DEG_PER_SEC': 0.04716036977, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.206146956, 'NAME': 'ONEWEB-0165', 'OBSERVER_GCRS_KM': [-260.0301298932466, 4616.145820608297, 4381.8691301041345], 'PHASE_ANGLE-DEG': 46.45271138045, 'RANGE-KM': 1455.846785671854, 'RANGE_RATE-KM_PER_SEC': -3.173408830434, 'RIGHT_ASCENSION-DEG': 113.7844491624, 'SATELLITE_GCRS_KM': [-836.7594886841038, 5924.7281242019035, 4654.789383624124], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 52.65912978933, 'AZIMUTH-DEG': 145.51692123209, 'CATALOG_ID': 48233, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.25278999803, 'DECLINATION-DEG': 10.83015801546, 'DRA_COSDEC-DEG_PER_SEC': 0.04719072176, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.2061481136, 'NAME': 'ONEWEB-0165', 'OBSERVER_GCRS_KM': [-260.0637966263989, 4616.1438491954805, 4381.869208927886], 'PHASE_ANGLE-DEG': 46.44758399351, 'RANGE-KM': 1455.529497761934, 'RANGE_RATE-KM_PER_SEC': -3.171071881415, 'RIGHT_ASCENSION-DEG': 113.78925297148, 'SATELLITE_GCRS_KM': [-836.7285339042951, 5924.282324869761, 4655.3607592469025], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 52.68027372092, 'AZIMUTH-DEG': 145.49299720658, 'CATALOG_ID': 48233, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.25288676123, 'DECLINATION-DEG': 10.85543678831, 'DRA_COSDEC-DEG_PER_SEC': 0.04722108014, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.2061492708, 'NAME': 'ONEWEB-0165', 'OBSERVER_GCRS_KM': [-260.09744980273786, 4616.141878330262, 4381.869287719906], 'PHASE_ANGLE-DEG': 46.44246641165, 'RANGE-KM': 1455.212571160352, 'RANGE_RATE-KM_PER_SEC': -3.168734316793, 'RIGHT_ASCENSION-DEG': 113.79405834354, 'SATELLITE_GCRS_KM': [-836.6975839306104, 5923.836650725378, 4655.931862394631], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 52.70142904425, 'AZIMUTH-DEG': 145.46902956767, 'CATALOG_ID': 48233, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.25298355064, 'DECLINATION-DEG': 10.88073541356, 'DRA_COSDEC-DEG_PER_SEC': 0.04725146937, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.2061504284, 'NAME': 'ONEWEB-0165', 'OBSERVER_GCRS_KM': [-260.13111650713665, 4616.139906426446, 4381.86936654361], 'PHASE_ANGLE-DEG': 46.43735453163, 'RANGE-KM': 1454.89575095096, 'RANGE_RATE-KM_PER_SEC': -3.166394253999, 'RIGHT_ASCENSION-DEG': 113.79886914967, 'SATELLITE_GCRS_KM': [-836.6666138536253, 5923.390743081187, 4656.5031527027095], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 52.72257872367, 'AZIMUTH-DEG': 145.44503753411, 'CATALOG_ID': 48233, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.25308028827, 'DECLINATION-DEG': 10.90603353699, 'DRA_COSDEC-DEG_PER_SEC': 0.04728186499, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.2061515856, 'NAME': 'ONEWEB-0165', 'OBSERVER_GCRS_KM': [-260.16476965462476, 4616.13793507043, 4381.869445335582], 'PHASE_ANGLE-DEG': 46.43225248157, 'RANGE-KM': 1454.579292173674, 'RANGE_RATE-KM_PER_SEC': -3.164053575719, 'RIGHT_ASCENSION-DEG': 113.80368152309, 'SATELLITE_GCRS_KM': [-836.6356485888982, 5922.94496067763, 4657.074170558252], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 52.74373976493, 'AZIMUTH-DEG': 145.42100173274, 'CATALOG_ID': 48233, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.25318212544, 'DECLINATION-DEG': 10.93135151796, 'DRA_COSDEC-DEG_PER_SEC': 0.04731323633, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.206152743, 'NAME': 'ONEWEB-0165', 'OBSERVER_GCRS_KM': [-260.1984363303643, 4616.135962675604, 4381.869524159237], 'PHASE_ANGLE-DEG': 46.4271561707, 'RANGE-KM': 1454.262940289126, 'RANGE_RATE-KM_PER_SEC': -3.161773881262, 'RIGHT_ASCENSION-DEG': 113.80849934057, 'SATELLITE_GCRS_KM': [-836.604663215887, 5922.498944739858, 4657.645375527998], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 52.7648951278, 'AZIMUTH-DEG': 145.39694143673, 'CATALOG_ID': 48233, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.25327376333, 'DECLINATION-DEG': 10.95666898682, 'DRA_COSDEC-DEG_PER_SEC': 0.04734272435, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.2061539004, 'NAME': 'ONEWEB-0165', 'OBSERVER_GCRS_KM': [-260.23208944909925, 4616.1339908287855, 4381.869602951161], 'PHASE_ANGLE-DEG': 46.42206971458, 'RANGE-KM': 1453.946949958692, 'RANGE_RATE-KM_PER_SEC': -3.159366605521, 'RIGHT_ASCENSION-DEG': 113.81331872973, 'SATELLITE_GCRS_KM': [-836.5736826618775, 5922.053054092849, 4658.216308071123], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 52.78606182242, 'AZIMUTH-DEG': 145.37283721789, 'CATALOG_ID': 48233, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.25337050046, 'DECLINATION-DEG': 10.98200631835, 'DRA_COSDEC-DEG_PER_SEC': 0.04737318811, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.206155058, 'NAME': 'ONEWEB-0165', 'OBSERVER_GCRS_KM': [-260.26575609606925, 4616.1320179429595, 4381.869681774768], 'PHASE_ANGLE-DEG': 46.4169890351, 'RANGE-KM': 1453.631067021326, 'RANGE_RATE-KM_PER_SEC': -3.157020311842, 'RIGHT_ASCENSION-DEG': 113.81814357293, 'SATELLITE_GCRS_KM': [-836.5426819936432, 5921.606929876816, 4658.787427682998], 'TLE-DATE': '2024-03-08 00:36:11'}"
