"{'ALTITUDE-DEG': 48.33513998784, 'AZIMUTH-DEG': 286.93832778658, 'CATALOG_ID': 48243, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.23007029649, 'DECLINATION-DEG': 40.89485165626, 'DRA_COSDEC-DEG_PER_SEC': -0.13858074317, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.253065972, 'NAME': 'ONEWEB-0208', 'OBSERVER_GCRS_KM': [-1518.1975070025246, 4364.12794889517, 4384.821382261153], 'PHASE_ANGLE-DEG': 97.83123845571, 'RANGE-KM': 1528.728196351694, 'RANGE_RATE-KM_PER_SEC': 0.686816679068, 'RIGHT_ASCENSION-DEG': 51.82243861019, 'SATELLITE_GCRS_KM': [-803.9300863772578, 5272.531746561602, 5385.638293858494], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 48.33138528916, 'AZIMUTH-DEG': 286.97858688925, 'CATALOG_ID': 48243, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.2300146968, 'DECLINATION-DEG': 40.91786073133, 'DRA_COSDEC-DEG_PER_SEC': -0.13862973848, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.2530671298, 'NAME': 'ONEWEB-0208', 'OBSERVER_GCRS_KM': [-1518.2293356018404, 4364.116800968094, 4384.821457135656], 'PHASE_ANGLE-DEG': 97.83713120278, 'RANGE-KM': 1528.797031163047, 'RANGE_RATE-KM_PER_SEC': 0.689602449657, 'RIGHT_ASCENSION-DEG': 51.80409573278, 'SATELLITE_GCRS_KM': [-803.8875492378396, 5272.016826125718, 5386.14743755663], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 48.32761718556, 'AZIMUTH-DEG': 287.01882029738, 'CATALOG_ID': 48243, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.22995900147, 'DECLINATION-DEG': 40.94085498732, 'DRA_COSDEC-DEG_PER_SEC': -0.13867870641, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.253068287, 'NAME': 'ONEWEB-0208', 'OBSERVER_GCRS_KM': [-1518.261151316744, 4364.105657293305, 4384.821531979858], 'PHASE_ANGLE-DEG': 97.84302083936, 'RANGE-KM': 1528.866116731012, 'RANGE_RATE-KM_PER_SEC': 0.692386710393, 'RIGHT_ASCENSION-DEG': 51.7857473706, 'SATELLITE_GCRS_KM': [-803.8450218653581, 5271.502064653728, 5386.656327131866], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 48.32383265344, 'AZIMUTH-DEG': 287.0590603572, 'CATALOG_ID': 48243, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.22990316573, 'DECLINATION-DEG': 40.96385291882, 'DRA_COSDEC-DEG_PER_SEC': -0.13872768633, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.2530694446, 'NAME': 'ONEWEB-0208', 'OBSERVER_GCRS_KM': [-1518.292979753571, 4364.0945089020015, 4384.821606853999], 'PHASE_ANGLE-DEG': 97.84891210266, 'RANGE-KM': 1528.935508618562, 'RANGE_RATE-KM_PER_SEC': 0.695171700671, 'RIGHT_ASCENSION-DEG': 51.76737874704, 'SATELLITE_GCRS_KM': [-803.8024700331449, 5270.987047856395, 5387.165372147625], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 48.32003474656, 'AZIMUTH-DEG': 287.09927466067, 'CATALOG_ID': 48243, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.22984723448, 'DECLINATION-DEG': 40.98683601202, 'DRA_COSDEC-DEG_PER_SEC': -0.1387766388, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.2530706017, 'NAME': 'ONEWEB-0208', 'OBSERVER_GCRS_KM': [-1518.3247953059506, 4364.083364763207, 4384.821681697838], 'PHASE_ANGLE-DEG': 97.85480025021, 'RANGE-KM': 1529.005150960577, 'RANGE_RATE-KM_PER_SEC': 0.69795517838, 'RIGHT_ASCENSION-DEG': 51.7490046304, 'SATELLITE_GCRS_KM': [-803.7599279741247, 5270.472190073088, 5387.674163069053], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 48.31622041741, 'AZIMUTH-DEG': 287.13949553906, 'CATALOG_ID': 48243, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.22979116272, 'DECLINATION-DEG': 41.00982275273, 'DRA_COSDEC-DEG_PER_SEC': -0.13882560317, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.2530717594, 'NAME': 'ONEWEB-0208', 'OBSERVER_GCRS_KM': [-1518.3566235801857, 4364.072215907712, 4384.821756571616], 'PHASE_ANGLE-DEG': 97.86069001805, 'RANGE-KM': 1529.07509976779, 'RANGE_RATE-KM_PER_SEC': 0.700739382321, 'RIGHT_ASCENSION-DEG': 51.73061022326, 'SATELLITE_GCRS_KM': [-803.7173614503259, 5269.957076933228, 5388.183109383827], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 48.31239274378, 'AZIMUTH-DEG': 287.17969059975, 'CATALOG_ID': 48243, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.22973499566, 'DECLINATION-DEG': 41.03279463608, 'DRA_COSDEC-DEG_PER_SEC': -0.13887454005, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.2530729165, 'NAME': 'ONEWEB-0208', 'OBSERVER_GCRS_KM': [-1518.388438970035, 4364.061071304913, 4384.821831415093], 'PHASE_ANGLE-DEG': 97.86657666491, 'RANGE-KM': 1529.145298726619, 'RANGE_RATE-KM_PER_SEC': 0.703522071088, 'RIGHT_ASCENSION-DEG': 51.7122103147, 'SATELLITE_GCRS_KM': [-803.6748047065948, 5269.442122854917, 5388.691801635279], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 48.30854865425, 'AZIMUTH-DEG': 287.2198921584, 'CATALOG_ID': 48243, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.229678688, 'DECLINATION-DEG': 41.05577013872, 'DRA_COSDEC-DEG_PER_SEC': -0.13892348876, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.253074074, 'NAME': 'ONEWEB-0208', 'OBSERVER_GCRS_KM': [-1518.4202670815723, 4364.049921985265, 4384.821906288507], 'PHASE_ANGLE-DEG': 97.87246492561, 'RANGE-KM': 1529.215804295534, 'RANGE_RATE-KM_PER_SEC': 0.706305482846, 'RIGHT_ASCENSION-DEG': 51.6937900866, 'SATELLITE_GCRS_KM': [-803.632223492687, 5268.926913393278, 5389.200649228638], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 48.30469125064, 'AZIMUTH-DEG': 287.26006783834, 'CATALOG_ID': 48243, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.22962228515, 'DECLINATION-DEG': 41.078730765, 'DRA_COSDEC-DEG_PER_SEC': -0.13897240991, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.2530752313, 'NAME': 'ONEWEB-0208', 'OBSERVER_GCRS_KM': [-1518.4520823089808, 4364.038776918432, 4384.821981131622], 'PHASE_ANGLE-DEG': 97.87835006013, 'RANGE-KM': 1529.286559712817, 'RANGE_RATE-KM_PER_SEC': 0.709087376782, 'RIGHT_ASCENSION-DEG': 51.67536434872, 'SATELLITE_GCRS_KM': [-803.589652065788, 5268.4118630400635, 5389.709242790312], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 48.30081743766, 'AZIMUTH-DEG': 287.30024993961, 'CATALOG_ID': 48243, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.22956574168, 'DECLINATION-DEG': 41.10169498245, 'DRA_COSDEC-DEG_PER_SEC': -0.13902134281, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.253076389, 'NAME': 'ONEWEB-0208', 'OBSERVER_GCRS_KM': [-1518.4839102579115, 4364.027627134598, 4384.822056004675], 'PHASE_ANGLE-DEG': 97.88423680207, 'RANGE-KM': 1529.357621884512, 'RANGE_RATE-KM_PER_SEC': 0.711869990379, 'RIGHT_ASCENSION-DEG': 51.65691826218, 'SATELLITE_GCRS_KM': [-803.5470561633516, 5267.896557274258, 5390.217991644867], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 48.29693034108, 'AZIMUTH-DEG': 287.34040610134, 'CATALOG_ID': 48243, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.22950910313, 'DECLINATION-DEG': 41.12464430453, 'DRA_COSDEC-DEG_PER_SEC': -0.1390702481, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.253077546, 'NAME': 'ONEWEB-0208', 'OBSERVER_GCRS_KM': [-1518.5157253226794, 4364.016481603801, 4384.822130847428], 'PHASE_ANGLE-DEG': 97.89012041261, 'RANGE-KM': 1529.4289336007, 'RANGE_RATE-KM_PER_SEC': 0.714651083572, 'RIGHT_ASCENSION-DEG': 51.63846665755, 'SATELLITE_GCRS_KM': [-803.5044700546124, 5267.381410665065, 5390.726486498152], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 48.29302684179, 'AZIMUTH-DEG': 287.38056860801, 'CATALOG_ID': 48243, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.22945692826, 'DECLINATION-DEG': 41.14759718967, 'DRA_COSDEC-DEG_PER_SEC': -0.13912198339, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.253078704, 'NAME': 'ONEWEB-0208', 'OBSERVER_GCRS_KM': [-1518.5475531090954, 4364.00533135575, 4384.822205720117], 'PHASE_ANGLE-DEG': 97.89600562415, 'RANGE-KM': 1529.500552214832, 'RANGE_RATE-KM_PER_SEC': 0.717447210171, 'RIGHT_ASCENSION-DEG': 51.61999467509, 'SATELLITE_GCRS_KM': [-803.4618594656296, 5266.866008613271, 5391.235136595914], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 48.28911008952, 'AZIMUTH-DEG': 287.42070511445, 'CATALOG_ID': 48243, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.22939544983, 'DECLINATION-DEG': 41.17053516037, 'DRA_COSDEC-DEG_PER_SEC': -0.1391680544, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.253079861, 'NAME': 'ONEWEB-0208', 'OBSERVER_GCRS_KM': [-1518.5793680113113, 4363.994185360955, 4384.822280562508], 'PHASE_ANGLE-DEG': 97.9018876991, 'RANGE-KM': 1529.572420069128, 'RANGE_RATE-KM_PER_SEC': 0.720213179882, 'RIGHT_ASCENSION-DEG': 51.60151716626, 'SATELLITE_GCRS_KM': [-803.4192586767797, 5266.350765767543, 5391.743532721625], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 48.28517694134, 'AZIMUTH-DEG': 287.46084788956, 'CATALOG_ID': 48243, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.22933843499, 'DECLINATION-DEG': 41.19347666601, 'DRA_COSDEC-DEG_PER_SEC': -0.13921695533, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.2530810186, 'NAME': 'ONEWEB-0208', 'OBSERVER_GCRS_KM': [-1518.6111956351062, 4363.983034648723, 4384.822355434834], 'PHASE_ANGLE-DEG': 97.90777136864, 'RANGE-KM': 1529.644594964462, 'RANGE_RATE-KM_PER_SEC': 0.722994179685, 'RIGHT_ASCENSION-DEG': 51.58301925043, 'SATELLITE_GCRS_KM': [-803.3766334023271, 5265.835267449964, 5392.25208404279], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 48.28123057088, 'AZIMUTH-DEG': 287.50096460424, 'CATALOG_ID': 48243, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.22928132539, 'DECLINATION-DEG': 41.21640323828, 'DRA_COSDEC-DEG_PER_SEC': -0.13926582854, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.2530821753, 'NAME': 'ONEWEB-0208', 'OBSERVER_GCRS_KM': [-1518.643010374764, 4363.971888189936, 4384.822430276863], 'PHASE_ANGLE-DEG': 97.91365189643, 'RANGE-KM': 1529.717018795081, 'RANGE_RATE-KM_PER_SEC': 0.72577365383, 'RIGHT_ASCENSION-DEG': 51.56451579989, 'SATELLITE_GCRS_KM': [-803.3340179348286, 5265.3199283853455, 5392.760381423545], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 48.27726781145, 'AZIMUTH-DEG': 287.54108751141, 'CATALOG_ID': 48243, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.22922407499, 'DECLINATION-DEG': 41.23933331732, 'DRA_COSDEC-DEG_PER_SEC': -0.13931471328, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.253083333, 'NAME': 'ONEWEB-0208', 'OBSERVER_GCRS_KM': [-1518.674837835836, 4363.960737013559, 4384.822505148827], 'PHASE_ANGLE-DEG': 97.91953401238, 'RANGE-KM': 1529.789749808922, 'RANGE_RATE-KM_PER_SEC': 0.728553837987, 'RIGHT_ASCENSION-DEG': 51.5459919132, 'SATELLITE_GCRS_KM': [-803.2913779766542, 5264.804333820215, 5393.268833950118], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 48.27329186056, 'AZIMUTH-DEG': 287.58118429819, 'CATALOG_ID': 48243, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.22916672994, 'DECLINATION-DEG': 41.26224844408, 'DRA_COSDEC-DEG_PER_SEC': -0.13936357022, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.2530844905, 'NAME': 'ONEWEB-0208', 'OBSERVER_GCRS_KM': [-1518.7066524130273, 4363.949590090746, 4384.822579990492], 'PHASE_ANGLE-DEG': 97.92541298144, 'RANGE-KM': 1529.862729452794, 'RANGE_RATE-KM_PER_SEC': 0.731332493804, 'RIGHT_ASCENSION-DEG': 51.52746248347, 'SATELLITE_GCRS_KM': [-803.2487478321888, 5264.2888985555655, 5393.777032567339], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 48.26929952778, 'AZIMUTH-DEG': 287.62128720145, 'CATALOG_ID': 48243, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.22911386453, 'DECLINATION-DEG': 41.28516704942, 'DRA_COSDEC-DEG_PER_SEC': -0.13941522355, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.253085648, 'NAME': 'ONEWEB-0208', 'OBSERVER_GCRS_KM': [-1518.7384797114655, 4363.938438450193, 4384.822654862094], 'PHASE_ANGLE-DEG': 97.93129353225, 'RANGE-KM': 1529.936016421546, 'RANGE_RATE-KM_PER_SEC': 0.734126739625, 'RIGHT_ASCENSION-DEG': 51.5089125884, 'SATELLITE_GCRS_KM': [-803.2060931917395, 5263.773207761773, 5394.285386280739], 'TLE-DATE': '2024-03-08 00:36:11'}"
