"{'ALTITUDE-DEG': 35.91608384709, 'AZIMUTH-DEG': 227.23181524614, 'CATALOG_ID': 48215, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.18688629322, 'DECLINATION-DEG': 0.35568390162, 'DRA_COSDEC-DEG_PER_SEC': -0.05880847437, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.2468576273, 'NAME': 'ONEWEB-0209', 'OBSERVER_GCRS_KM': [-1422.2117341606697, 4396.5699352008605, 4384.595941136976], 'PHASE_ANGLE-DEG': 89.26896719072, 'RANGE-KM': 1814.892246484732, 'RANGE_RATE-KM_PER_SEC': -3.671572201838, 'RIGHT_ASCENSION-DEG': 71.56551756382, 'SATELLITE_GCRS_KM': [-848.3174869878605, 6118.299392761639, 4395.862457005539], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 35.92860780201, 'AZIMUTH-DEG': 227.25063803876, 'CATALOG_ID': 48215, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.18694927142, 'DECLINATION-DEG': 0.3743794293, 'DRA_COSDEC-DEG_PER_SEC': -0.05884026117, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.246858785, 'NAME': 'ONEWEB-0209', 'OBSERVER_GCRS_KM': [-1422.2437993805895, 4396.559487349529, 4384.596016539219], 'PHASE_ANGLE-DEG': 89.27216603871, 'RANGE-KM': 1814.525096172889, 'RANGE_RATE-KM_PER_SEC': -3.669955799027, 'RIGHT_ASCENSION-DEG': 71.55963386233, 'SATELLITE_GCRS_KM': [-848.2900778972053, 6117.878132560687, 4396.452318029237], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 35.94112745023, 'AZIMUTH-DEG': 227.2694666554, 'CATALOG_ID': 48215, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.18701223065, 'DECLINATION-DEG': 0.3930737323, 'DRA_COSDEC-DEG_PER_SEC': -0.05887205151, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.246859942, 'NAME': 'ONEWEB-0209', 'OBSERVER_GCRS_KM': [-1422.2758516261183, 4396.549043467114, 4384.596091910961], 'PHASE_ANGLE-DEG': 89.27536593184, 'RANGE-KM': 1814.158255174893, 'RANGE_RATE-KM_PER_SEC': -3.668339037048, 'RIGHT_ASCENSION-DEG': 71.55374933679, 'SATELLITE_GCRS_KM': [-848.2626720802164, 6117.45698590629, 4397.04190150968], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 35.95365286245, 'AZIMUTH-DEG': 227.28831626085, 'CATALOG_ID': 48215, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.18707522159, 'DECLINATION-DEG': 0.41178185702, 'DRA_COSDEC-DEG_PER_SEC': -0.05890387099, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.2468610997, 'NAME': 'ONEWEB-0209', 'OBSERVER_GCRS_KM': [-1422.307916693663, 4396.538595148136, 4384.596167312864], 'PHASE_ANGLE-DEG': 89.27856944606, 'RANGE-KM': 1813.791428346106, 'RANGE_RATE-KM_PER_SEC': -3.666720614881, 'RIGHT_ASCENSION-DEG': 71.54785924886, 'SATELLITE_GCRS_KM': [-848.2352474799262, 6117.035613849875, 4397.63168195732], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 35.96617395638, 'AZIMUTH-DEG': 227.30717170137, 'CATALOG_ID': 48215, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.18713819347, 'DECLINATION-DEG': 0.43048875329, 'DRA_COSDEC-DEG_PER_SEC': -0.05893569399, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.2468622574, 'NAME': 'ONEWEB-0209', 'OBSERVER_GCRS_KM': [-1422.3399687867752, 4396.528150798298, 4384.596242684268], 'PHASE_ANGLE-DEG': 89.28177400471, 'RANGE-KM': 1813.424910902438, 'RANGE_RATE-KM_PER_SEC': -3.665101833433, 'RIGHT_ASCENSION-DEG': 71.54196833489, 'SATELLITE_GCRS_KM': [-848.2078261600117, 6116.614355392231, 4398.221184884015], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 35.97870080383, 'AZIMUTH-DEG': 227.3260481633, 'CATALOG_ID': 48215, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.18720119696, 'DECLINATION-DEG': 0.44920947759, 'DRA_COSDEC-DEG_PER_SEC': -0.05896754614, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.246863415, 'NAME': 'ONEWEB-0209', 'OBSERVER_GCRS_KM': [-1422.3720337020345, 4396.517702011645, 4384.5963180858325], 'PHASE_ANGLE-DEG': 89.28498218749, 'RANGE-KM': 1813.058407960772, 'RANGE_RATE-KM_PER_SEC': -3.663481390393, 'RIGHT_ASCENSION-DEG': 71.53607185141, 'SATELLITE_GCRS_KM': [-848.1803860512296, 6116.192871495784, 4398.810884733984], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 35.99122332136, 'AZIMUTH-DEG': 227.34493047135, 'CATALOG_ID': 48215, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.18726418131, 'DECLINATION-DEG': 0.46792896966, 'DRA_COSDEC-DEG_PER_SEC': -0.05899940182, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.2468645717, 'NAME': 'ONEWEB-0209', 'OBSERVER_GCRS_KM': [-1422.4040856428212, 4396.507257194356, 4384.596393456899], 'PHASE_ANGLE-DEG': 89.28819141399, 'RANGE-KM': 1812.692214474987, 'RANGE_RATE-KM_PER_SEC': -3.661860588224, 'RIGHT_ASCENSION-DEG': 71.53017453988, 'SATELLITE_GCRS_KM': [-848.1529492294973, 6115.771501249786, 4399.400307086065], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 36.00375158187, 'AZIMUTH-DEG': 227.36383383344, 'CATALOG_ID': 48215, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.18732719718, 'DECLINATION-DEG': 0.48666229606, 'DRA_COSDEC-DEG_PER_SEC': -0.05903128666, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.2468657293, 'NAME': 'ONEWEB-0209', 'OBSERVER_GCRS_KM': [-1422.4361504055928, 4396.496807940095, 4384.596468858125], 'PHASE_ANGLE-DEG': 89.29140426765, 'RANGE-KM': 1812.326035824241, 'RANGE_RATE-KM_PER_SEC': -3.66023812279, 'RIGHT_ASCENSION-DEG': 71.5242716517, 'SATELLITE_GCRS_KM': [-848.1254936130607, 6115.3499055282455, 4399.989926317506], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 36.01627550078, 'AZIMUTH-DEG': 227.38274305269, 'CATALOG_ID': 48215, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.18739019378, 'DECLINATION-DEG': 0.50539438638, 'DRA_COSDEC-DEG_PER_SEC': -0.05906317502, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.2468668865, 'NAME': 'ONEWEB-0209', 'OBSERVER_GCRS_KM': [-1422.4682021941455, 4396.486362655322, 4384.596544228851], 'PHASE_ANGLE-DEG': 89.29461816429, 'RANGE-KM': 1811.960166701144, 'RANGE_RATE-KM_PER_SEC': -3.658615298136, 'RIGHT_ASCENSION-DEG': 71.51836793348, 'SATELLITE_GCRS_KM': [-848.0980412906913, 6114.928423509835, 4400.579268072668], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 36.0288051521, 'AZIMUTH-DEG': 227.40167335866, 'CATALOG_ID': 48215, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.18745322182, 'DECLINATION-DEG': 0.52414031732, 'DRA_COSDEC-DEG_PER_SEC': -0.05909509256, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.246868044, 'NAME': 'ONEWEB-0209', 'OBSERVER_GCRS_KM': [-1422.500266804522, 4396.475912933425, 4384.5966196297395], 'PHASE_ANGLE-DEG': 89.29783569113, 'RANGE-KM': 1811.594312745833, 'RANGE_RATE-KM_PER_SEC': -3.656990808581, 'RIGHT_ASCENSION-DEG': 71.51245863146, 'SATELLITE_GCRS_KM': [-848.0705701680162, 6114.506715978596, 4401.168806663972], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 36.0413304501, 'AZIMUTH-DEG': 227.42060953284, 'CATALOG_ID': 48215, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.18751623054, 'DECLINATION-DEG': 0.54288500836, 'DRA_COSDEC-DEG_PER_SEC': -0.05912701363, 'ILLUMINATED': True, 'JULIAN_DATE': 2460369.2468692013, 'NAME': 'ONEWEB-0209', 'OBSERVER_GCRS_KM': [-1422.532318440737, 4396.465467181204, 4384.596695000128], 'PHASE_ANGLE-DEG': 89.30105426022, 'RANGE-KM': 1811.228768389557, 'RANGE_RATE-KM_PER_SEC': -3.655365960619, 'RIGHT_ASCENSION-DEG': 71.50654849738, 'SATELLITE_GCRS_KM': [-848.0431023458477, 6114.085122202712, 4401.7580678013655], 'TLE-DATE': '2024-03-08 00:36:11'}"
