norad_id,sat_name,sat_model,image_start_time_utc,image_end_time_utc,obs_location,v_magnitude,v_magnitude_error,expected_photon_flux, effective_albedo,ra_astrometric_deg,dec_astrometric_deg,tle_source,ra_deg,dec_deg,position_error_deg,elevation_deg,azimuth_deg,velocity_deg_sec,airmass,orbit_height_km,range_km,solar_elongation_deg,sun_elevation_deg,sun_azimuth_deg
45131,ONEWEB-0013,ONEWEB,44077.15597,44077.156,Biosphere,6.898145891,0.116654381,12342.87587,0.41344,296.8937321,32.24242666,Celestrak_Supplemental,296.909809,32.1892106,0.054926822,82.34509625,90.10966101,0.331499572,1.008898593,1239.72088,1247.865161,121.3083563,-24.56163157,297.3914918
45131,ONEWEB-0013,ONEWEB,44080.13396,44080.13399,Biosphere,6.677963081,0.084515158,16740.61196,0.509871,316.0710775,29.10683003,Celestrak_Supplemental,316.0994865,29.14708539,0.047290087,61.38184477,87.78539599,0.299365071,1.138586239,1240.071137,1378.689525,134.8772801,-19.36813442,291.2588313
45131,ONEWEB-0013,ONEWEB,44082.19529,44082.19532,Biosphere,7.275795252,0.13885312,15696.37342,4.27308,233.0173442,22.46519883,Celestrak_Supplemental,233.0078881,22.48169215,0.018664982,24.88969254,281.6730716,0.184094268,2.363821781,1240.393993,2270.767061,65.84952216,-36.24507448,307.5971289
45131,ONEWEB-0013,ONEWEB,44089.14429,44089.14432,Biosphere,8.201378062,0.092484338,4474.864352,0.518029,250.73628,27.9304727,Celestrak_Supplemental,250.728485,27.95521793,0.025685542,51.36447873,275.187916,0.275312918,1.27902898,1239.403278,1510.241453,77.69280626,-25.01543695,291.3385231
45131,ONEWEB-0013,ONEWEB,44100.13962,44100.13965,Biosphere,9.149813219,0.136937872,2899.935053,1.7578,228.4162595,22.15980609,Celestrak_Supplemental,228.4048782,22.17271596,0.016666155,22.8954717,282.3994373,0.177355283,2.554625801,1235.914068,2359.782265,50.13218228,-27.03240753,287.076768
45131,ONEWEB-0013,ONEWEB,44102.12508,44102.12511,Biosphere,8.851563954,0.114324151,3425.394511,1.70081,231.1996246,23.03704066,Celestrak_Supplemental,231.196759,23.03903057,0.003303646,28.29489778,280.4806723,0.19761573,2.101446956,1234.673515,2114.805957,51.71890556,-23.3609464,283.1293865
45159,ONEWEB-0056,ONEWEB,44102.49523,44102.49527,Biosphere,8.873722666,0.115862065,3291.14359,3.42226,151.4488375,20.58591442,Celestrak_Supplemental,151.4146212,20.54923291,0.048701042,21.83357988,79.0100636,0.201521688,2.670642855,1043.114807,2100.882479,40.06411907,-18.19162423,80.81385087
45160,ONEWEB-0057,ONEWEB,44104.4971,44104.49714,Biosphere,9.164483897,0.106579848,2201.678565,1.33687,147.3334358,22.01837273,Celestrak_Supplemental,147.3292761,22.02069566,0.004501838,28.08770277,80.72114455,0.230467779,2.115539055,1042.904193,1833.796482,46.02524281,-17.92135697,81.9819704
44059,ONEWEB-0008,ONEWEB,44105.0982,44105.09823,Biosphere,8.353344507,0.09798498,5956.219292,0.248204,11.81154182,21.25042502,Celestrak_Supplemental,11.8031085,21.23391824,0.018282744,21.63837297,77.80755685,0.179824643,2.693219476,1181.691661,2337.295008,161.4777965,-16.1753583,276.5335856
44059,ONEWEB-0008,ONEWEB,44106.15754,44106.15758,Biosphere,7.675995991,0.078961693,5844.350303,0.235048,299.4706876,31.54569707,Celestrak_Supplemental,299.4698078,31.50068303,0.045020288,75.12898156,270.7649728,0.341997597,1.034446249,1181.373605,1214.463863,109.8232971,-33.99152873,289.7412146
